coin_id,symbol,price_usd,market_cap_usd,volume_24h_usd,price_change_pct_24h,circulating_supply,fetched_at_utc
bitcoin,BTC,79896.0,1604004132527,36566257033,1.53,20076187.0,2026-08-28T06:19:16+00:00
ethereum,ETH,2502.58,302014891308,15802491073,0.69,120681205.94596182,2026-08-28T06:19:16+00:00
solana,SOL,107.41,62734851853,6906003371,6.35,584062050.8794916,2026-08-28T06:19:16+00:00
dogecoin,DOGE,0.088101,13715175184,735062050,1.79,155675006383.70526,2026-08-28T06:19:16+00:00
cardano,ADA,0.210498,7893397022,406327664,0.72,37498597081.30407,2026-08-28T06:19:16+00:00
bitcoin,BTC,79868.0,1603456859464,36595660661,1.42,20076187.0,2026-08-28T06:21:54+00:00
ethereum,ETH,2502.39,301989893348,15711753941,0.64,120681205.94596182,2026-08-28T06:21:54+00:00
solana,SOL,107.39,62726006094,6901119376,6.18,584062050.8794916,2026-08-28T06:21:54+00:00
dogecoin,DOGE,0.088112,13715910796,731209020,1.63,155675006383.70526,2026-08-28T06:21:54+00:00
cardano,ADA,0.210442,7891185732,405957187,0.6,37498597081.30407,2026-08-28T06:21:54+00:00
bitcoin,BTC,79868.0,1603456859464,36595660661,1.42,20076187.0,2026-08-28T06:22:11+00:00
ethereum,ETH,2502.39,301989893348,15711753941,0.64,120681205.94596182,2026-08-28T06:22:11+00:00
solana,SOL,107.39,62726006094,6901119376,6.18,584062050.8794916,2026-08-28T06:22:11+00:00
dogecoin,DOGE,0.088112,13715910796,731209020,1.63,155675006383.70526,2026-08-28T06:22:11+00:00
cardano,ADA,0.210442,7891185732,405957187,0.6,37498597081.30407,2026-08-28T06:22:11+00:00
